"job_title","job_schedule_type","job_posted_date","salary_year_avg"
"Data Analyst","Full-time","2023-02-20","650000.0"
"Director of Analytics","Full-time","2023-08-23","336500.0"
"Associate Director- Data Insights","Full-time","2023-06-18","255829.5"
"Data Analyst, Marketing","Full-time","2023-12-05","232423.0"
"Data Analyst (Hybrid/Remote)","Full-time","2023-01-17","217000.0"
"Principal Data Analyst (Remote)","Full-time","2023-08-09","205000.0"
"Director, Data Analyst - HYBRID","Full-time","2023-12-07","189309.0"
"Principal Data Analyst, AV Performance Analysis","Full-time","2023-01-05","189000.0"
"Principal Data Analyst","Full-time","2023-07-11","186000.0"
"ERM Data Analyst","Full-time","2023-06-09","184000.0"
